
 generation best average standard 

   Generation#         Best_fitness       Ava_fitness 
  
    1,                   28883.822,                  17249.357,    
  
    2,                   28883.822,                  20363.270,    
  
    3,                   28986.956,                  21389.293,    
  
    4,                   29435.950,                  22606.762,    
  
    5,                   29435.950,                  24191.801,    
  
    6,                   29441.770,                  23234.598,    
  
    7,                   29856.970,                  23262.286,    
  
    8,                   29856.970,                  24015.885,    
  
    9,                   29894.800,                  24064.312,    
  
   10,                   29896.880,                  24749.324,    
  
   11,                   29896.880,                  24938.004,    
  
   12,                   29896.880,                  24302.503,    
  
   13,                   29896.880,                  23952.909,    
  
   14,                   29896.880,                  25488.937,    
  
   15,                   29896.880,                  25879.725,    
  
   16,                   29896.880,                  26615.720,    
  
   17,                   29896.880,                  25882.493,    
  
   18,                   29896.880,                  24997.795,    
  
   19,                   29896.880,                  25228.757,    
  
   20,                   29896.880,                  25481.941,    
  
   21,                   29896.880,                  25237.003,    
  
   22,                   29896.900,                  25869.372,    
  
   23,                   29897.920,                  25853.881,    
  
   24,                   29897.920,                  25446.124,    
  
   25,                   29897.920,                  24544.212,    
  
   26,                   29897.920,                  24608.060,    
  
   27,                   29897.920,                  25036.179,    
  
   28,                   29897.920,                  25785.395,    
  
   29,                   29897.920,                  26116.205,    
  
   30,                   29897.920,                  25786.408,    
  
   31,                   29897.920,                  26015.995,    
  
   32,                   29897.920,                  25673.797,    
  
   33,                   29897.920,                  25077.832,    
  
   34,                   29897.920,                  25636.104,    
  
   35,                   29897.920,                  25321.633,    
  
   36,                   29897.920,                  26065.843,    
  
   37,                   29898.200,                  25556.606,    
  
   38,                   29898.200,                  25853.712,    
  
   39,                   29899.580,                  25541.503,    
  
   40,                   29899.580,                  25363.855,    
  
   41,                   29899.580,                  24811.731,    
  
   42,                   29899.900,                  24373.560,    
  
   43,                   29899.900,                  26213.440,    
  
   44,                   29899.900,                  25955.786,    
  
   45,                   29899.900,                  26574.705,    
  
   46,                   29899.900,                  26138.538,    
  
   47,                   29899.900,                  26442.763,    
  
   48,                   29899.900,                  25965.004,    
  
   49,                   29899.900,                  27356.046,    
  
   50,                   29899.900,                  26543.345,    
  
   51,                   29899.900,                  27043.928,    
  
   52,                   29900.760,                  25888.507,    
  
   53,                   29900.760,                  26244.751,    
  
   54,                   29900.760,                  26118.311,    
  
   55,                   29900.760,                  25915.103,    
  
   56,                   29900.760,                  26896.407,    
  
   57,                   29900.760,                  26787.009,    
  
   58,                   29900.760,                  26506.533,    
  
   59,                   29900.760,                  26281.364,    
  
   60,                   29900.760,                  26690.888,    
  
   61,                   29900.760,                  25544.312,    
  
   62,                   29900.760,                  25674.055,    
  
   63,                   29900.760,                  25425.719,    
  
   64,                   29900.760,                  24727.994,    
  
   65,                   29900.940,                  25340.467,    
  
   66,                   29900.940,                  26791.273,    
  
   67,                   29900.940,                  26520.202,    
  
   68,                   29900.940,                  27358.352,    
  
   69,                   29900.940,                  27500.697,    
  
   70,                   29900.940,                  27202.815,    
  
   71,                   29900.940,                  26479.403,    
  
   72,                   29900.940,                  27232.874,    
  
   73,                   29900.940,                  26607.330,    
  
   74,                   29900.940,                  26224.498,    
  
   75,                   29900.940,                  26025.050,    
  
   76,                   29900.940,                  26148.062,    
  
   77,                   29900.940,                  27103.573,    
  
   78,                   29900.940,                  27732.529,    
  
   79,                   29900.940,                  28013.250,    
  
   80,                   29900.940,                  27662.774,    
  
   81,                   29900.940,                  26776.303,    
  
   82,                   29900.940,                  27083.378,    
  
   83,                   29900.940,                  28258.178,    
  
   84,                   29900.940,                  27490.183,    
  
   85,                   29900.940,                  27443.703,    
  
   86,                   29900.940,                  27721.361,    
  
   87,                   29900.940,                  25725.245,    
  
   88,                   29900.940,                  25367.144,    
  
   89,                   29900.940,                  25919.799,    
  
   90,                   29900.940,                  25328.097,    
  
